Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal alveolar consolidation, no definite pleural effusion seen",1.0,,,,,,0.0,,,,0.0,,,
 No typical findings of pulmonary edema,1.0,,,,,0.0,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
Lungs are hyperexpanded,1.0,,,,,,,,,,,,,
 Bullae are present in the upper lobes,,,,,,,,,,,,,,
 No focal infiltrates or masses in the lungs,1.0,,,0.0,0.0,,,,,,,,,
 Heart size normal,1.0,,0.0,,,,,,,,,,,
Cardiomediastinal silhouette is normal,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature and XXXX are normal,1.0,,,,,,,,,,,,,
" No consolidation, pneumothorax or large pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Osseous structures and soft tissues are normal,1.0,,,,,,,,,,,,,
The heart is significantly enlarged,,,1.0,,,,,,,,,,,
 Prominent pulmonary vascularity,,,,,,,,,,,,,,
" No focal airspace consolidation, suspicious pulmonary opacity, or definite pleural effusion",1.0,,,,0.0,,0.0,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized osseous structures appear intact,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion,1.0,,,,,,,,,,0.0,,,
 The heart and mediastinum are normal ,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures and soft tissues are normal,1.0,,,,,,,,,,,,,
Minimal left costophrenic XXXX airspace disease and/or pleural effusion,,,,,-1.0,,,,,,-1.0,,,
 Lungs are otherwise clear,1.0,,,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Heart and mediastinum are stable with normal sized heart,,-1.0,,,,,,,,,,,,
 There is tortuosity and ectasia of the aorta,1.0,,,,,,,,,,,,,
 Degenerative changes in the spine,,,,,,,,,,,,,,
Hyperinflated lungs with flattened diaphragm and increased retrosternal airspace,,,,,,,,,,,,,,
" No alveolar consolidation, no findings of pleural effusion or pulmonary edema",1.0,,,,,0.0,0.0,,,,0.0,,,
 Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 Right hilar calcification suggests a previous granulomatous process,,,,,,,,,,,,,,
Clear lungs,1.0,,,,,,,,,,,,,
 Heart and pulmonary XXXX appear normal,1.0,,,,,,,,,,,,,
 Pleural spaces are clear,1.0,,,,,,,,,,,,,
 Mediastinal contours are normal,1.0,0.0,,,,,,,,,,,,
The heart size is normal,1.0,,0.0,,,,,,,,,,,
 The mediastinal contour is within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are free of any focal infiltrates,1.0,,,,0.0,,,,,,,,,
 There is a small calcified granuloma within the left upper lobe,,,,,,,,,,,,,,
 There are no nodules or masses,1.0,,,0.0,,,,,,,,,,
 No visible pneumothorax,1.0,,,,,,,,,0.0,,,,
 No visible pleural fluid,1.0,,,,,,,,,,0.0,,,
 The XXXX are grossly normal,1.0,,,,,,,,,,,,,
 There is no visible free intraperitoneal air under the diaphragm,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 No pleural effusion is identified,1.0,,,,,,,,,,0.0,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Cardiac and mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
 Bony structures are intact,1.0,,,,,,,,,,,,,
Mediastinum is stable,1.0,,,,,,,,,,,,,
" Retrocardiac lucency XXXX represents a large hiatal hernia, unchanged from prior",,,,,,,,,,,,,,
" The lungs are clear, without focal infiltrate or pleural effusion",1.0,,,,0.0,,,,,,0.0,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 Visualized bony structures reveal no acute abnormalities,1.0,,,,,,,,,,,,,
 Stable thoracic XXXX deformity,,,,,,,,,,,,,,
The heart is top normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are hypoinflated but grossly clear,1.0,,,,,,,,,,,,,
 Significant degenerative changes of the XXXX are again noted bilaterally,,,,,,,,,,,,,,
There are T-spine osteophytes,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette and pulmonary vasculature are within normal limits,1.0,0.0,,,,,,,,,,,,
 There is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 There are no focal areas of consolidation,1.0,,,,,,0.0,,,,,,,
The trachea is midline,1.0,,,,,,,,,,,,,
 The heart size is normal,1.0,,0.0,,,,,,,,,,,
" XXXX opacities are seen in the left lower lobe and left costodiaphragmatic XXXX, which could represent scarring or atelectasis",,,,,1.0,,,,-1.0,,,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 No acute bony abnormalities,1.0,,,,,,,,,,,,,
The trachea is midline,1.0,,,,,,,,,,,,,
 The cardiomediastinal silhouette is normal in contour and unchanged in comparison to prior exams,1.0,0.0,,,,,,,,,,,,
 The lungs are clear with no evidence of acute infiltrate or effusion,1.0,,,,0.0,,,,,,0.0,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
 The visualized bony structures reveal no acute abnormalities,1.0,,,,,,,,,,,,,
Normal heart size,1.0,,0.0,,,,,,,,,,,
" No focal air space consolidation, pneumothorax, pleural effusion, or pulmonary edema",1.0,,,,,0.0,0.0,,,0.0,0.0,,,
 No focal bony abnormality,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are mildly hyperlucent but clear,1.0,,,,,,,,,,,,,
 There is denser lumbar scoliosis,,,,,,,,,,,,,,
Scoliosis and focal eventration of the posterior left hemidiaphragm,,,,,,,,,,,,,,
 No focal alveolar consolidation,1.0,,,,,,0.0,,,,,,,
" Rotated position, considering technical factors heart size XXXX within normal limits",,,1.0,,,,,,,,,,,
" No definite pleural effusion seen, left bronchovascular crowding without typical findings of pulmonary edema",1.0,,,,,0.0,,,,,0.0,,,
 Exaggerated kyphosis with increased AP dimension of the thorax,,,,,,,,,,,,,,
The heart size is mildly enlarged,,,1.0,,,,,,,,,,,
 The pulmonary XXXX and mediastinum are within normal limits,,1.0,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 There is no focal air space opacity to suggest a pneumonia,1.0,,,,0.0,,,0.0,,,,,,
 There is a moderate sized hiatal hernia,,,,,,,,,,,,,,
 There mild degenerative changes of the spine,,,,,,,,,,,,,,
The heart size and mediastinal contours appear within normal limits,,1.0,1.0,,,,,,,,,,,
" No focal airspace consolidation, pleural effusion or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 No acute bony abnormalities,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 Osseous structures are within normal limits for patient age,1.0,,,,,,,,,,,,,
There are no acute osseous abnormalities,1.0,,,,,,,,,,,,,
" There are surgical clips in the right upper abdomen, XXXX from cholecystectomy",1.0,,,,,,,,,,,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Normal hilar vascular markings,1.0,,,,,,,,,,,,,
" The lungs are grossly clear without focal area of consolidation, pleural effusion, pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
 Degenerative changes in the thoracic spine,,,,,,,,,,,,,,
Cardiac and mediastinal contours are unremarkable,1.0,0.0,,,,,,,,,,,,
 Pulmonary vascularity is within normal limits,1.0,,,,,,,,,,,,,
" No focal air space opacities, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 XXXX are grossly unremarkable,1.0,,,,,,,,,,,,,
Postsurgical changes of XXXX sternotomy with screw fixation of anterior XXXX plates,1.0,,,,,,,,,,,,,1.0
 Heart size and cardiomediastinal silhouette are normal,1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, suspicious bony opacity, pneumothorax, or pleural effusion",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality,1.0,,,,,,,,,,,,,
Postsurgical changes of XXXX sternotomy with screw fixation of anterior XXXX plates,1.0,,,,,,,,,,,,,1.0
 Heart size and cardiomediastinal silhouette are normal,1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, suspicious bony opacity, pneumothorax, or pleural effusion",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality,1.0,,,,,,,,,,,,,
Postsurgical changes of XXXX sternotomy with screw fixation of anterior XXXX plates,1.0,,,,,,,,,,,,,1.0
 Heart size and cardiomediastinal silhouette are normal,1.0,0.0,0.0,,,,,,,,,,,
" No focal consolidation, suspicious bony opacity, pneumothorax, or pleural effusion",1.0,,,,0.0,,0.0,,,0.0,0.0,,,
 No acute osseous abnormality,1.0,,,,,,,,,,,,,
Diffuse bilateral coarse interstitial markings are unchanged,,,,,1.0,,,,,,,,,
" No focal consolidation, pleural effusion, pneumothoraces",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 Degenerative changes of the shoulder,,,,,,,,,,,,,,
 Soft tissues are unremarkable,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
 Lungs are clear of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
" There is mild blunting of the right costophrenic XXXX, without definite pleural effusion",,,,,,,,,,,0.0,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
 Lungs are clear of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 There is no pneumothorax,1.0,,,,,,,,,0.0,,,,
" There is mild blunting of the right costophrenic XXXX, without definite pleural effusion",,,,,,,,,,,0.0,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
"Scattered calcified pulmonary nodules, XXXX represents calcified granulomas",,,,1.0,,,,,,,,,,
 Lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" There is no focal consolidation, pleural effusion, or pneumothoraces",1.0,,,,,,0.0,,,0.0,0.0,,,
" Stable calcified hilar and mediastinal lymph XXXX, XXXX decreased in size from prior exam",,,,,,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 XXXX are unremarkable,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
The heart and lungs have XXXX XXXX in the interval,,,1.0,,,,,,,,,,,
 Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 No pleural air collections,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
 A vague lucency is present in left rib 7 anteriorly,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
" The lungs are mildly hypoinflated but grossly clear of focal airspace disease, pneumothorax, or pleural effusion",,,,,-1.0,,,,,-1.0,-1.0,,,
 There are no acute bony findings,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
There is obscuration of the bilateral lung bases with lower lung volumes compared to prior examination,1.0,,,,,,,,,,,,,
" Stable atelectatic/fibrotic changes of the visualized lung, and stable left-sided calcified granuloma",,,,,,,,,-1.0,,,,,
 No acute osseous abnormalities identified,1.0,,,,,,,,,,,,,
 Cardiomediastinal silhouette unremarkable,1.0,0.0,,,,,,,,,,,,
There is obscuration of the bilateral lung bases with lower lung volumes compared to prior examination,1.0,,,,,,,,,,,,,
" Stable atelectatic/fibrotic changes of the visualized lung, and stable left-sided calcified granuloma",,,,,,,,,-1.0,,,,,
 No acute osseous abnormalities identified,1.0,,,,,,,,,,,,,
 Cardiomediastinal silhouette unremarkable,1.0,0.0,,,,,,,,,,,,
Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
 Pulmonary vascularity is normal,1.0,,,,,,,,,,,,,
 Lungs are clear,1.0,,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
The heart is mildly enlarged,,,1.0,,,,,,,,,,,
 Pulmonary vascularity is increased,1.0,,,,,,,,,,,,,
 There is again mild elevation of the right hemidiaphragm,,,,,,,,,,,,,,
 Air space disease and/or atelectasis is noted in right lung base,,,,,-1.0,,,,-1.0,,,,,
 There is also XXXX streaky opacity in the left base,,,,,1.0,,,,,,,,,
 The costophrenic XXXX are blunted,,,,,,,,,,,,,,
The heart is mildly enlarged,,,1.0,,,,,,,,,,,
 Pulmonary vascularity is increased,1.0,,,,,,,,,,,,,
 There is again mild elevation of the right hemidiaphragm,,,,,,,,,,,,,,
 Air space disease and/or atelectasis is noted in right lung base,,,,,-1.0,,,,-1.0,,,,,
 There is also XXXX streaky opacity in the left base,,,,,1.0,,,,,,,,,
 The costophrenic XXXX are blunted,,,,,,,,,,,,,,
Both lungs are clear and expanded,1.0,,,,,,,,,,,,,
 Heart and mediastinum normal,1.0,0.0,,,,,,,,,,,,
Normal cardiac contours,1.0,0.0,0.0,,,,,,,,,,,
 Clear lung XXXX bilaterally,1.0,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
There is patchy opacity in the left base concerning for atelectasis versus pneumonitis,,,,,1.0,,,,-1.0,,,,,
 There is a curvilinear lucency that appears to be in the right hemidiaphragm and a small amount of free intraperitoneal air may be present,1.0,,,,,,,,,,,,,
 There is a small left pleural effusion,,,,,,,,,,,1.0,,,
 The heart is not significantly enlarged,1.0,,0.0,,,,,,,,,,,
 There are atherosclerotic changes of the aorta,,,,,,,,,,,,,,
 Arthritic changes of the skeletal structures are noted,1.0,,,,,,,,,,,,,
Stable mild thoracic levoscoliosis,,,,,,,,,,,,,,
 Stable cardiomegaly,,,1.0,,,,,,,,,,,
 Multiple scattered round calcific densities XXXX represent old granulomatous disease,,,,,,,,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 No focal consolidation,1.0,,,,,,0.0,,,,,,,
 Moderate degenerative changes of the thoracic spine,,,,,,,,,,,,,,
The cardiomediastinal silhouette is within normal limits for size and contour,1.0,0.0,,,,,,,,,,,,
" The lungs are normally inflated without evidence of focal airspace disease, pleural effusion, or pneumothorax",1.0,,,,0.0,,,,,0.0,0.0,,,
 No acute bone abnormality,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 Heart size and mediastinal contour are normal,1.0,0.0,0.0,,,,,,,,,,,
Heart size within normal limits,1.0,,0.0,,,,,,,,,,,
 No focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion,1.0,,,,,,,,,,0.0,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 Scoliosis and degenerative changes are present in the spine,,,,,,,,,,,,,,
The heart size and pulmonary vascularity appear within normal limits,,,1.0,,,,,,,,,,,
 The lungs are free of focal airspace disease,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
Right paratracheal stripe is denser and XXXX than normal,1.0,,,,,,,,,,,,,
 The XXXX are normal,1.0,,,,,,,,,,,,,
 Heart size normal,1.0,,0.0,,,,,,,,,,,
 Lungs clear and expanded with no infiltrates,1.0,,,,0.0,,,,,,,,,
Heart size and mediastinal contours are stable,,-1.0,-1.0,,,,,,,,,,,
 Atherosclerotic calcifications of the aorta,,,,,,,,,,,,,,
" Moderate severe hyperexpansion of the lungs and decreased peripheral vascular markings, consistent with emphysema",,,,,,,,,,,,,,
 Stable biapical pleural-parenchymal scarring,,,,,1.0,,,,,,,,,
 Scattered granulomas,,,,,,,,,,,,,,
 No abnormal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
Heart size and mediastinal contours are stable,,-1.0,-1.0,,,,,,,,,,,
 Stable calcification of the thoracic aorta,,,,,,,,,,,,,,
 Pulmonary vasculature is within normal limits,1.0,,,,,,,,,,,,,
 There is no focal air space opacity,1.0,,,,0.0,,,,,,,,,
 No pleural effusion or pneumothorax is seen,1.0,,,,,,,,,0.0,0.0,,,
 No acute bony abnormality is demonstrated,1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size,1.0,0.0,,,,,,,,,,,,
" The lungs are clear of focal airspace disease, pneumothorax, or pleural effusion",1.0,,,,0.0,,,,,0.0,0.0,,,
 There are no acute bony findings,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 The lungs are hypoinflated,1.0,,,,,,,,,,,,,
" Costophrenic XXXX are blunted, XXXX corresponding to small bilateral pleural effusions",,,,,,,,,,,1.0,,,
 There is no focal consolidation or pneumothorax,1.0,,,,,,0.0,,,0.0,,,,
Postsurgical changes are noted in the mediastinum,,1.0,,,,,,,,,,,,
 There is tortuosity and/or ectasia of the thoracic and upper abdominal aorta,1.0,,,,,,,,,,,,,
 No consolidative airspace opacities,1.0,,,,0.0,,0.0,,,,,,,
 Blunting of the lateral and posterior left costophrenic sulcus may represent residual postsurgical effusion or pleural-parenchymal scarring,,,,,-1.0,,,,,,-1.0,,,
 No demonstrable pneumothorax,1.0,,,,,,,,,0.0,,,,
 Cardiomediastinal silhouette within normal limits,1.0,0.0,,,,,,,,,,,,
 Multilevel anterior osteophytes of the thoracic spine,1.0,,,,,,,,,,,,,
Postsurgical changes are noted in the mediastinum,,1.0,,,,,,,,,,,,
 There is tortuosity and/or ectasia of the thoracic and upper abdominal aorta,1.0,,,,,,,,,,,,,
 No consolidative airspace opacities,1.0,,,,0.0,,0.0,,,,,,,
 Blunting of the lateral and posterior left costophrenic sulcus may represent residual postsurgical effusion or pleural-parenchymal scarring,,,,,-1.0,,,,,,-1.0,,,
 No demonstrable pneumothorax,1.0,,,,,,,,,0.0,,,,
 Cardiomediastinal silhouette within normal limits,1.0,0.0,,,,,,,,,,,,
 Multilevel anterior osteophytes of the thoracic spine,1.0,,,,,,,,,,,,,
Heart size and vascularity normal,,,1.0,,,,,,,,,,,
 Lungs are hyperexpanded but clear,1.0,,,,,,,,,,,,,
 Mediastinal contour normal,1.0,0.0,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
Heart size and vascularity normal,,,1.0,,,,,,,,,,,
 Lungs are hyperexpanded but clear,1.0,,,,,,,,,,,,,
 Mediastinal contour normal,1.0,0.0,,,,,,,,,,,,
 No pleural effusions or pneumothoraces,1.0,,,,,,,,,0.0,0.0,,,
The cardiomediastinal silhouette and pulmonary vasculature are within normal limits in size and contour,1.0,0.0,,,,,,,,,,,,
" There is a XXXX-A-XXXX terminating at the caval atrial junction, without evidence of pneumothorax",1.0,,,,,,,,,0.0,,,,
 There is no focal airspace disease,1.0,,,,0.0,,,,,,,,,
" There are small calcified nodules in the superior segment of the right lower lobe, XXXX old granulomatous infection",,,,,,,,1.0,,,,,,
 There are no acute bony findings,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart is not significantly enlarged,1.0,,0.0,,,,,,,,,,,
 There are calcified mediastinal lymph XXXX,,,,,,,,,,,,,,
 There are atherosclerotic changes of the aorta,,,,,,,,,,,,,,
 Arthritic changes of the skeletal structures are noted,1.0,,,,,,,,,,,,,
Negative for cardiac enlargement,1.0,,0.0,,,,,,,,,,,
 Negative for vascular congestion,1.0,,,,,0.0,,,,,,,,
 Negative for focal confluent airspace disease,1.0,,,,0.0,,,,,,,,,
 Negative for pneumothorax,1.0,,,,,,,,,0.0,,,,
 A few scattered calcified granulomas are identified,,,,,,,,,,,,,,
Normal heart size and mediastinal contours,1.0,0.0,0.0,,,,,,,,,,,
 No focal airspace consolidation,1.0,,,,,,0.0,,,,,,,
 No pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
" Mild dextro curvature of the lower thoracic spine, this may be positional",1.0,,,,,,,,,,,,,
 Visualized bony structures are otherwise unremarkable,1.0,,,,,,,,,,,,,
The heart is normal in size,1.0,,0.0,,,,,,,,,,,
 The mediastinum is unremarkable,1.0,0.0,,,,,,,,,,,,
 XXXX scarring is noted in the lingula,,,,,1.0,,,,,,,,,
 The lungs are clear,1.0,,,,,,,,,,,,,
Cardiomediastinal silhouette is within normal limits,1.0,0.0,,,,,,,,,,,,
 No focal consolidation,1.0,,,,,,0.0,,,,,,,
 There is right lower lobe scarring,,,,,1.0,,,,,,,,,
 No pneumothorax or large pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
 Granulomas present,,,,,,,,,,,,,,
 No acute bony abnormalities,1.0,,,,,,,,,,,,,
Frontal and lateral views of the chest show an unchanged cardiomediastinal silhouette,,-1.0,,,,,,,,,,,,
 There is a AP XXXX duct is calcified lymph node,,,,,,,,,,,,,,
 The aorta is unfolded,1.0,,,,,,,,,,,,,
 Cardiac silhouette remains moderately enlarged,,,1.0,,,,,,,,,,,
 Low lung volumes due to exaggerated kyphosis,,,,,,,,,,,,,,
 No focal airspace consolidation or pleural effusion,1.0,,,,,,0.0,,,,0.0,,,
 XXXX spine spondylosis,1.0,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
" Specifically, no evidence of focal consolidation, pneumothorax, or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cardio mediastinal silhouette is unremarkable,1.0,0.0,,,,,,,,,,,,
" Visualized osseous structures of the thorax demonstrate stable, mild multilevel thoracolumbar degenerative disc disease without acute abnormality",,,,,,,,,,,,,,
 Upper abdominal midline surgical sutures are likewise stable,1.0,,,,,,,,,,,,,
The heart is normal in size and contour,1.0,0.0,0.0,,,,,,,,,,,
 There is no mediastinal widening,1.0,,,,,,,,,,,,,
 The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
 No large pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
" Mild dextro curvature of the thoracic spine, possibly positional",1.0,,,,,,,,,,,,,
The cardiomediastinal silhouette is normal size and configuration,1.0,0.0,,,,,,,,,,,,
 Pulmonary vasculature within normal limits,1.0,,,,,,,,,,,,,
 The lungs are well-aerated,1.0,,,,,,,,,,,,,
" There is no pneumothorax, pleural effusion, or focal consolidation",1.0,,,,,,0.0,,,0.0,0.0,,,
Mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal consolidation, pneumothorax or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cervical fusion XXXX,1.0,,,,,,,,,,,,,
 Degenerative changes of the spine and the acromioclavicular joints,,,,,,,,,,,,,,
Mediastinal contours are within normal limits,1.0,0.0,,,,,,,,,,,,
 Heart size is within normal limits,1.0,,0.0,,,,,,,,,,,
" No focal consolidation, pneumothorax or pleural effusion",1.0,,,,,,0.0,,,0.0,0.0,,,
 Cervical fusion XXXX,1.0,,,,,,,,,,,,,
 Degenerative changes of the spine and the acromioclavicular joints,,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 Heart size is normal,1.0,,0.0,,,,,,,,,,,
 No pneumothorax,1.0,,,,,,,,,0.0,,,,
 Calcified granuloma within the right lung base,,,,,,,,,,,,,,
"The lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues grossly unremarkable,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
The lungs are clear,1.0,,,,,,,,,,,,,
 There is no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
 The heart and mediastinum are normal,1.0,0.0,0.0,,,,,,,,,,,
 The skeletal structures are normal,1.0,,,,,,,,,,,,,
"Lungs are clear without focal consolidation, effusion, or pneumothorax",1.0,,,,,,0.0,,,0.0,0.0,,,
 Normal heart size,1.0,,0.0,,,,,,,,,,,
 Bony thorax and soft tissues unremarkable,1.0,,,,,,,,,,,,,
The lungs are clear bilaterally,1.0,,,,,,,,,,,,,
